Variação_12_Meses_(%)_data,Variação_12_Meses_(%)_port1,Variação_12_Meses_(%)_port4,Variação_12_Meses_(%)_port8
2013-05-09,8.8247,8.6666,13.0262
2013-05-10,8.8522,8.7998,13.408
2013-05-13,8.8106,8.7346,13.5178
2013-05-14,8.7097,8.5281,13.302
2013-05-15,8.7369,8.5678,13.4516
2013-05-16,8.5983,8.4738,13.4346
2013-05-17,8.5978,8.602,13.6819
2013-05-20,8.6806,8.8154,13.7384
2013-05-21,8.6532,8.8291,13.8097
2013-05-22,8.5991,8.6394,13.0689
2013-05-23,8.4819,8.4693,12.9483
2013-05-24,8.3863,8.3514,12.6009
2013-05-28,8.3074,8.2521,12.7305
2013-05-29,8.0453,7.759,12.4577
2013-05-31,7.586,7.1426,11.8728
2013-06-03,7.5531,7.2691,12.0294
2013-06-04,7.484,7.0877,11.6631
2013-06-05,7.4429,6.9101,11.2107
2013-06-06,7.4658,7.015,11.3033
2013-06-07,7.2152,6.6799,11.4004
2013-06-10,7.0229,6.3736,10.9562
2013-06-11,6.8359,6.0063,10.1498
2013-06-12,6.7658,5.8775,9.7913
2013-06-13,7.0986,6.5773,10.7588
2013-06-14,7.0485,6.5758,10.6752
2013-06-17,6.8642,6.3446,10.7928
2013-06-18,6.5409,5.7239,10.0946
2013-06-19,6.6012,5.6123,9.6754
2013-06-20,6.5784,5.3099,8.3374
2013-06-21,6.7644,5.3788,8.4123
2013-06-24,6.7123,5.0726,8.0501
2013-06-25,6.8492,5.3088,8.2054
2013-06-26,7.0067,5.7236,8.898
2013-06-27,7.0583,5.7242,8.8008
2013-06-28,7.1272,5.8569,8.8336
2013-07-01,7.2745,5.9608,8.8365
2013-07-02,7.1917,5.7318,8.694
2013-07-03,7.0111,5.2509,8.2646
2013-07-05,6.7982,4.9202,7.8058
2013-07-08,6.9288,5.1519,8.1693
2013-07-10,6.8123,4.9583,7.9725
2013-07-11,6.84,5.0849,8.1905
2013-07-12,6.7464,4.8221,7.8793
2013-07-15,6.8364,5.0104,7.8273
2013-07-16,6.8204,4.9772,7.6912
2013-07-17,6.7782,4.8966,7.5783
2013-07-18,6.8451,5.053,7.8005
2013-07-19,7.0331,5.4638,8.4036
2013-07-22,7.2043,5.7117,8.2684
2013-07-23,7.419,6.2194,8.8739
2013-07-24,7.3484,5.9863,8.4456
2013-07-25,7.4553,6.2026,8.3407
2013-07-26,7.4988,6.3452,8.4416
2013-07-29,7.1648,5.6475,7.5308
2013-07-30,6.9454,5.2711,7.1918
2013-07-31,6.7842,4.8975,6.8575
2013-08-01,6.7539,4.893,6.8315
2013-08-05,6.8351,5.0708,7.2234
2013-08-06,6.7417,4.8658,6.6081
2013-08-07,6.6967,4.7132,6.2131
2013-08-08,6.9028,5.1387,6.442
2013-08-09,6.8961,5.0736,6.1335
2013-08-13,6.8619,5.0666,5.6051
2013-08-14,6.764,4.915,5.3189
2013-08-15,6.6035,4.5697,4.743
2013-08-16,6.4702,4.277,4.2304
2013-08-19,6.3743,4.1708,3.7165
2013-08-20,6.4962,4.3025,3.8117
2013-08-21,6.4384,4.2046,3.5524
2013-08-22,6.5723,4.3575,3.4362
2013-08-23,6.6915,4.4554,3.5109
2013-08-26,6.4039,3.8161,3.2018
2013-08-27,6.1423,3.242,2.681
2013-08-28,6.2131,3.3775,2.6342
2013-08-29,6.0785,3.2048,2.5872
2013-08-30,6.1639,3.3676,2.6679
2013-09-03,6.2264,3.4639,2.705
2013-09-04,6.1374,3.3339,2.8631
2013-09-05,6.1654,3.4803,2.7571
2013-09-06,6.181,3.7303,3.343
2013-09-09,6.2387,3.8385,3.3053
2013-09-10,6.2611,3.8394,3.5397
2013-09-11,6.2439,3.778,3.5815
2013-09-12,6.2715,3.7512,3.1743
2013-09-13,6.3015,3.7465,2.9534
2013-09-16,6.3169,3.685,3.0945
2013-09-17,6.3809,3.8046,3.0535
2013-09-18,6.731,4.4887,3.9111
2013-09-19,6.6516,4.4436,4.0686
2013-09-20,6.543,4.2397,4.0787
2013-09-23,6.6833,4.516,4.1903
2013-09-24,6.6742,4.4738,4.0848
2013-09-25,6.6623,4.4949,4.2138
2013-09-26,6.5136,4.1074,3.6371
2013-09-27,6.5912,4.2002,3.4043
2013-09-30,6.473,4.1443,4.1422
2013-10-01,6.5268,4.2774,4.0588
2013-10-02,6.4703,4.3078,3.9875
2013-10-03,6.3742,4.0942,3.927
2013-10-04,6.3143,3.922,3.8017
2013-10-07,6.3149,3.8073,3.5268
2013-10-08,6.194,3.5249,3.1647
2013-10-09,6.2147,3.5422,3.1959
2013-10-10,5.9515,3.168,3.0675
2013-10-11,5.9698,3.2181,3.187
2013-10-14,6.0759,3.4779,3.3635
2013-10-15,6.1356,3.5991,3.1805
2013-10-16,6.1715,3.7669,3.3789
2013-10-17,6.0757,3.7065,3.5038
2013-10-18,6.0039,3.588,3.5784
2013-10-21,6.1435,3.9382,3.782
2013-10-22,6.2657,4.1669,4.1796
2013-10-23,6.2128,4.0554,4.1507
2013-10-24,6.2122,4.1064,4.2095
2013-10-25,6.0917,3.9971,4.5689
2013-10-28,6.1451,4.1271,4.4031
2013-10-29,6.1216,4.0835,4.2106
2013-10-30,5.8839,3.8018,4.0639
2013-10-31,5.8639,3.6681,3.9174
2013-11-01,5.8386,3.6516,3.9971
2013-11-04,5.9212,3.8866,4.2629
2013-11-05,5.7168,3.4103,3.7322
2013-11-06,5.6381,3.2811,3.8642
2013-11-07,5.42,2.8407,3.184
2013-11-08,5.3607,2.7393,3.3394
2013-11-11,5.4253,2.7983,3.1581
2013-11-12,5.4867,2.9375,3.5551
2013-11-13,5.6303,3.1683,3.7726
2013-11-14,5.9637,3.8301,4.4198
2013-11-18,6.1377,4.1398,4.567
2013-11-19,5.8937,3.6899,4.4775
2013-11-21,5.8938,3.6924,4.5215
2013-11-22,5.8586,3.7336,4.66
2013-11-25,5.6293,3.251,4.2682
2013-11-26,5.6389,3.3065,4.7711
2013-11-27,5.6095,3.1769,4.649
2013-11-29,5.8532,3.61,5.0229
2013-12-02,5.7938,3.547,5.1814
2013-12-03,5.719,3.3666,5.0419
2013-12-04,5.7904,3.4404,5.0324
2013-12-05,5.849,3.5126,4.9629
2013-12-06,6.075,3.9836,5.5557
2013-12-09,6.1465,4.1074,5.3519
2013-12-10,6.015,3.7806,4.954
2013-12-11,5.9618,3.5875,4.6214
2013-12-12,5.8174,3.2222,4.1342
2013-12-13,5.8903,3.3912,4.2605
2013-12-16,5.8975,3.4534,4.2046
2013-12-17,5.7998,3.2244,3.7766
2013-12-18,5.773,3.1013,3.7191
2013-12-19,5.8225,3.2678,3.6088
2013-12-20,5.6623,2.9856,3.6086
2013-12-23,5.6415,2.9134,3.1978
2013-12-26,5.6504,2.9221,3.395
2013-12-27,5.5239,2.7763,3.264
2013-12-30,5.5541,2.7479,3.1888
2014-01-02,5.4343,2.4586,3.2147
2014-01-03,5.4745,2.5514,3.2051
2014-01-06,5.4496,2.5234,3.1641
2014-01-07,5.3911,2.4542,3.291
2014-01-08,5.4041,2.4631,3.3293
2014-01-09,5.2616,2.115,3.0174
2014-01-10,5.2146,1.926,2.5781
2014-01-13,5.0424,1.6184,2.208
2014-01-14,5.0866,1.7006,2.3491
2014-01-15,5.1414,1.8134,2.3858
2014-01-16,5.0776,1.6189,1.9007
2014-01-17,4.9836,1.4526,2.0179
2014-01-21,4.5623,0.5183,0.5987
2014-01-22,4.5506,0.5234,0.5492
2014-01-23,4.4076,0.2522,0.0262
2014-01-24,4.334,0.0633,-0.5223
2014-01-27,4.3842,0.1056,-0.8295
2014-01-28,4.3047,-0.023,-0.92
2014-01-29,4.1372,-0.3938,-1.7131
2014-01-30,4.0196,-0.468,-1.4837
2014-01-31,4.0575,-0.4515,-1.4341
2014-02-03,3.8357,-1.0116,-2.3125
2014-02-04,3.9847,-0.7553,-2.2152
2014-02-05,4.0118,-0.8249,-2.3714
2014-02-06,4.2112,-0.5053,-2.3462
2014-02-07,4.3333,-0.3115,-2.1853
2014-02-10,4.2813,-0.4954,-2.4292
2014-02-11,4.5807,-0.0468,-2.1754
2014-02-12,4.6214,0.0455,-2.3153
2014-02-13,4.5278,-0.0956,-2.1966
2014-02-14,4.7282,0.3026,-1.8928
2014-02-18,4.7321,0.1216,-1.6061
2014-02-19,4.713,0.0301,-1.953
2014-02-20,4.8973,0.4242,-1.3695
2014-02-21,5.0262,0.7012,-0.8923
2014-02-24,5.1313,0.9393,-0.5009
2014-02-25,5.1591,1.067,-0.0895
2014-02-26,5.189,1.074,-0.0544
2014-02-27,5.3339,1.4223,0.3479
2014-02-28,5.3792,1.4648,0.655
2014-03-05,5.4052,1.5363,1.1192
2014-03-06,5.5086,1.7329,0.9649
2014-03-07,5.5979,1.8016,1.0986
2014-03-10,5.4598,1.5808,1.0401
2014-03-11,5.4824,1.5589,0.8942
2014-03-12,5.5307,1.7101,1.3068
2014-03-13,5.4526,1.4264,0.8251
2014-03-14,5.3143,1.1266,0.4928
2014-03-17,5.3417,1.1698,0.6566
2014-03-18,5.4417,1.4181,0.6474
2014-03-19,5.491,1.4811,0.3294
2014-03-20,5.5868,1.6325,0.1168
2014-03-21,5.435,1.3507,0.1844
2014-03-24,5.4989,1.4397,0.258
2014-03-25,5.5742,1.6674,0.5047
2014-03-26,5.5634,1.6087,0.4565
2014-03-27,5.7609,2.1013,0.7241
2014-03-28,5.9299,2.36,0.8841
2014-03-31,6.0002,2.5327,0.9965
2014-04-01,6.0385,2.6209,1.1636
2014-04-02,6.225,2.9998,1.4437
2014-04-03,6.3171,3.1632,1.692
2014-04-04,6.254,3.0816,1.5181
2014-04-07,6.4038,3.4108,1.5986
2014-04-08,6.3243,3.3207,1.5641
2014-04-09,6.3331,3.3608,1.8953
2014-04-10,6.227,2.9954,1.1345
2014-04-11,6.242,2.9878,0.8852
2014-04-14,6.2242,2.9273,0.9705
2014-04-15,6.2804,2.9691,1.3279
2014-04-16,6.4629,3.3224,1.4097
2014-04-17,6.5818,3.5753,1.7795
2014-04-22,6.6201,3.6866,1.8101
2014-04-23,6.4686,3.4687,1.8801
2014-04-24,6.4955,3.5327,1.9103
2014-04-25,6.4152,3.3083,1.7449
2014-04-28,6.3499,3.1402,1.4688
2014-04-29,6.5216,3.3998,1.4533
2014-04-30,6.7327,3.6736,1.799
2014-05-02,7.1958,4.6374,2.6178
2014-05-05,7.1178,4.3974,2.2117
2014-05-06,7.2429,4.7397,2.5098
2014-05-07,7.0248,4.5355,2.4926
2014-05-08,6.8516,4.1821,2.3135
2014-05-09,6.7358,4.0603,2.4345
2014-05-12,6.7468,4.0745,2.3331
2014-05-13,6.7699,4.1126,2.4946
2014-05-14,6.9011,4.3209,2.5823
2014-05-15,6.9285,4.2893,2.3712
2014-05-16,6.8863,4.1835,2.3037
2014-05-19,6.7365,3.8818,2.3161
2014-05-20,6.6245,3.7158,2.2344
2014-05-21,6.6472,3.7468,2.3406
2014-05-22,6.7523,3.9087,2.3457
2014-05-23,6.6496,3.7102,2.329
2014-05-27,6.6839,3.7241,2.3418
2014-05-28,6.8466,4.0533,2.6859
2014-05-29,6.9129,4.1896,2.9082
2014-05-30,6.9285,4.2156,3.0642
2014-06-02,6.9491,4.2048,2.7818
2014-06-03,6.8847,4.1262,2.5888
2014-06-04,6.9641,4.1902,2.6698
2014-06-05,6.9752,4.1442,2.7354
2014-06-06,7.2298,4.5906,3.1284
2014-06-09,7.253,4.6432,3.0409
2014-06-10,7.2824,4.747,3.2891
2014-06-11,7.4021,4.9242,3.3005
2014-06-13,7.5416,5.0605,3.51
2014-06-16,7.5544,5.0687,3.4196
2014-06-17,7.6189,5.2199,3.4669
2014-06-18,8.202,6.1154,4.2931
2014-06-20,8.1546,5.9515,4.2511
2014-06-23,8.058,5.8813,4.5144
2014-06-24,8.3047,6.384,5.0866
2014-06-25,8.3364,6.4154,5.4364
2014-06-26,8.5075,6.6379,5.1596
2014-06-27,8.6431,6.8817,5.659
2014-06-30,8.982,7.6348,6.7733
2014-07-01,9.1883,8.037,7.2775
2014-07-02,8.8522,7.3785,6.4719
2014-07-03,9.2189,8.0214,7.0026
2014-07-07,9.3845,8.1543,6.8715
2014-07-08,9.5318,8.334,7.2528
2014-07-10,9.9408,9.1462,7.9273
2014-07-11,9.9839,9.4674,9.1044
2014-07-14,10.1391,9.9462,9.3455
2014-07-15,10.1293,10.1549,9.6261
2014-07-16,9.8621,9.5922,8.8617
2014-07-17,9.8284,9.4041,8.3274
2014-07-18,9.8545,9.556,8.458
2014-07-21,9.978,9.8482,8.7514
2014-07-22,10.0681,10.0509,8.9233
2014-07-23,10.1502,10.2566,8.8898
2014-07-24,10.1538,10.3032,8.787
2014-07-25,10.2877,10.3996,8.843
2014-07-28,10.2104,10.2066,8.4468
2014-07-29,10.127,9.9661,8.3277
2014-07-30,9.9967,9.6279,8.0746
2014-07-31,9.9601,9.5329,7.6545
2014-08-01,9.7454,9.0979,7.4125
2014-08-04,9.7698,9.1547,7.393
2014-08-05,9.5356,8.6785,6.8419
2014-08-06,9.5581,8.6623,6.6577
2014-08-07,9.4371,8.4811,6.3165
2014-08-08,9.2719,8.1732,6.4459
2014-08-11,9.3529,8.2845,6.3139
2014-08-12,9.3813,8.3989,6.4718
2014-08-13,9.2215,8.1396,6.6717
2014-08-14,9.2704,8.1884,6.7448
2014-08-15,9.5286,8.7291,7.2686
