Variação_Diária_(%),data
0.161,2012-12-27
-0.1591,2012-12-28
1.0276,2013-01-02
-0.0325,2013-01-03
0.1109,2013-01-04
-0.0175,2013-01-07
-0.0752,2013-01-08
0.1046,2013-01-09
0.228,2013-01-10
-0.0036,2013-01-11
-0.0343,2013-01-14
-0.0092,2013-01-15
-0.0062,2013-01-16
0.1146,2013-01-17
0.0453,2013-01-18
0.1235,2013-01-22
0.1166,2013-01-23
-0.0206,2013-01-24
0.1169,2013-01-28
0.1685,2013-01-29
0.0119,2013-01-30
0.1244,2013-01-31
0.3272,2013-02-01
-0.2303,2013-02-04
-0.0447,2013-02-05
0.015,2013-02-06
-0.0677,2013-02-07
0.1508,2013-02-08
0.0832,2013-02-13
-0.083,2013-02-14
-0.0929,2013-02-15
0.1064,2013-02-19
-0.2229,2013-02-20
-0.1851,2013-02-21
0.1419,2013-02-22
-0.3682,2013-02-25
0.1455,2013-02-26
0.2091,2013-02-27
0.056,2013-02-28
0.143,2013-03-01
0.1406,2013-03-04
0.3033,2013-03-05
0.0706,2013-03-06
-0.111,2013-03-07
-0.002,2013-03-08
0.0465,2013-03-11
-0.1184,2013-03-12
-0.1473,2013-03-13
0.1285,2013-03-14
-0.0557,2013-03-15
-0.1446,2013-03-18
-0.1905,2013-03-19
0.0348,2013-03-20
-0.1887,2013-03-21
0.1666,2013-03-22
-0.1758,2013-03-25
0.3181,2013-03-26
0.0638,2013-03-27
0.1556,2013-03-28
-0.13,2013-04-01
0.0802,2013-04-02
-0.2002,2013-04-03
0.1489,2013-04-04
0.0263,2013-04-05
0.0823,2013-04-08
0.0276,2013-04-09
0.3937,2013-04-10
0.0694,2013-04-11
-0.2123,2013-04-12
-0.5378,2013-04-15
0.3665,2013-04-16
-0.3405,2013-04-17
0.1061,2013-04-18
0.1705,2013-04-19
-0.029,2013-04-22
0.2557,2013-04-23
-0.1159,2013-04-24
0.0127,2013-04-25
0.0441,2013-04-26
0.1199,2013-04-29
0.1169,2013-04-30
-0.0746,2013-05-02
0.18,2013-05-03
0.0649,2013-05-06
0.1238,2013-05-07
0.094,2013-05-08
-0.2043,2013-05-09
0.0759,2013-05-10
0.0509,2013-05-13
0.2328,2013-05-14
0.0855,2013-05-15
0.0341,2013-05-16
0.191,2013-05-17
-0.0741,2013-05-20
0.0803,2013-05-21
-0.2223,2013-05-22
-0.0304,2013-05-23
-0.0849,2013-05-24
0.033,2013-05-28
-0.0182,2013-05-29
-0.5627,2013-05-31
0.0421,2013-06-03
-0.1895,2013-06-04
-0.5739,2013-06-05
-0.156,2013-06-06
0.2657,2013-06-07
-0.4923,2013-06-10
-1.0424,2013-06-11
-0.2464,2013-06-12
0.854,2013-06-13
-0.3625,2013-06-14
0.032,2013-06-17
-0.3952,2013-06-18
-0.7369,2013-06-19
-1.1622,2013-06-20
0.0043,2013-06-21
-0.2737,2013-06-24
0.875,2013-06-25
0.4164,2013-06-26
0.2372,2013-06-27
-0.1401,2013-06-28
0.1361,2013-07-01
0.0122,2013-07-02
0.0774,2013-07-03
-0.0796,2013-07-05
0.2819,2013-07-08
0.1204,2013-07-10
0.1937,2013-07-11
0.0072,2013-07-12
0.108,2013-07-15
0.0616,2013-07-16
0.0912,2013-07-17
0.2375,2013-07-18
0.1717,2013-07-19
0.1689,2013-07-22
0.2796,2013-07-23
-0.1996,2013-07-24
-0.0753,2013-07-25
0.0697,2013-07-26
-0.2265,2013-07-29
-0.0081,2013-07-30
-0.0086,2013-07-31
-0.033,2013-08-01
0.1673,2013-08-05
-0.3589,2013-08-06
-0.1234,2013-08-07
0.0536,2013-08-08
0.1621,2013-08-09
-0.4591,2013-08-13
-0.2859,2013-08-14
-0.3006,2013-08-15
-0.2409,2013-08-16
-0.6042,2013-08-19
0.3791,2013-08-20
-0.5384,2013-08-21
0.1068,2013-08-22
0.3373,2013-08-23
-0.105,2013-08-26
-0.4118,2013-08-27
-0.0069,2013-08-28
-0.1147,2013-08-29
0.0792,2013-08-30
0.356,2013-09-03
0.1996,2013-09-04
0.0346,2013-09-05
0.2366,2013-09-06
0.1889,2013-09-09
0.1529,2013-09-10
0.0019,2013-09-11
-0.2539,2013-09-12
0.0453,2013-09-13
0.1175,2013-09-16
0.1065,2013-09-17
0.7017,2013-09-18
0.0237,2013-09-19
-0.0283,2013-09-20
-0.1225,2013-09-23
0.025,2013-09-24
0.0643,2013-09-25
-0.0011,2013-09-26
-0.0053,2013-09-27
0.0495,2013-09-30
0.1746,2013-10-01
0.1699,2013-10-02
-0.1235,2013-10-03
0.2932,2013-10-04
-0.2356,2013-10-07
